COMMON NAME,START MONTH,START DAY,END MONTH,END DAY,POLYGON
Black-bellied Whistling-Duck,,,,,
Fulvous Whistling-Duck,,,,,
Ross's Goose,6,,9,15,
Greater White-fronted Goose,6,,8,,
Tundra Bean-Goose,,,,,
Pink-footed Goose,,,,,
Brant,6,15,8,,
Barnacle Goose,,,,,
Barnacle x Canada Goose (hybrid),,,,,
Canada x Barnacle Goose,,,,,
Mute Swan,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Trumpeter Swan,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Garganey,,,,,
Cinnamon Teal,,,,,
Blue-winged x Cinnamon Teal (hybrid),,,,,
Cinnamon x Blue-winged Teal,,,,,
Blue-winged Teal x Northern Shoveler (hybrid),,,,,
Northern Shoveler x Blue-winged Teal,,,,,
Eurasian Wigeon,,,,,
Gadwall x American Wigeon (hybrid),,,,,
American Wigeon x Gadwall,,,,,
Eurasian x American Wigeon (hybrid),,,,,
American x Eurasian Wigeon,,,,,
Northern Shoveler x Mallard (hybrid),,,,,
Mallard x Northern Shoveler,,,,,
Mottled Duck,,,,,
Gadwall x Northern Pintail (hybrid),,,,,
Northern Pintail x Gadwall,,,,,
Green-winged Teal (Eurasian),,,,,
Eurasian Green-winged Teal,,,,,
Gadwall x Green-winged Teal (hybrid),,,,,
Green-winged Teal x Gadwall,,,,,
American Wigeon x Green-winged Teal (hybrid),,,,,
Green-winged Teal x American Wigeon,,,,,
Northern Pintail x Green-winged Teal (hybrid),,,,,
Northern Pintail x Green-winged Teal,,,,,
Canvasback,,,,,"48.9194150857585,-86.07077913032089|52.90607130575171,-82.15964631782089|51.805712636989604,-78.02878694282089|47.63262073889206,-79.61081819282089|47.72138707348396,-83.14841584907089"
Canvasback x Ring-necked Duck (hybrid),,,,,
Tufted Duck,,,,,
Redhead x Greater Scaup (hybrid),,,,,
Redhead x Greater Scaup,,,,,
Ring-necked Duck x Greater Scaup (hybrid),,,,,
Ring-necked Duck x Greater Scaup,,,,,
Tufted Duck x Greater Scaup (hybrid),,,,,
Tufted Duck x Greater Scaup,,,,,
Tufted Duck x Lesser Scaup (hybrid),,,,,
Tufted Duck x Lesser Scaup,,,,,
Redhead x Lesser Scaup (hybrid),,,,,
Lesser Scaup x Redhead,,,,,
Ring-necked Duck x Lesser Scaup (hybrid),,,,,
Lesser Scaup x Ring-necked Duck,,,,,
Redhead x scaup sp. (hybrid),,,,,
Ring-necked Duck x scaup sp. (hybrid),,,,,
Tufted Duck x scaup sp. (hybrid),,,,,
King Eider,6,,9,,
King Eider,,,,,"45.28744915903176, -83.01411293865303|45.310632725708444, -79.83906411052803|45.11714668931905, -78.00434731365303|45.90243397222414, -76.94965981365303|51.73808585380978, -79.56440590740303|55.873000331888505, -82.44831704021553|58.80022853713858, -94.12129067302803|48.65922253181058, -96.91731118084053"
Common Eider,,,,,
Harlequin Duck,,,,,"58.94465679071982, -96.0053932660598|45.92865505932927, -95.52199482855978|46.20306982042807, -74.84572529730978|57.95599910603665, -70.38527607855981"
Harlequin Duck,6,,8,,
Bufflehead x Common Goldeneye (hybrid),,,,,
Bufflehead x Common Goldeneye,,,,,
Barrow's Goldeneye,,,,,"58.44874917093712, -87.46221264318885|48.99591039606452, -67.26934154943885|45.76887786847241, -77.25591381506385|43.89533369758435, -76.22869213537635|39.6748653898414, -80.65068920568885|48.634192226932086, -100.38213451818885|54.87772414472053, -96.51494701818885"
Common x Barrow's Goldeneye (hybrid),,,,,
Common x Barrow's Goldeneye,,,,,
Smew,,,,,
Wood Duck x Hooded Merganser (hybrid),,,,,
Wood Duck x Hooded Merganser,,,,,
Bufflehead x Hooded Merganser (hybrid),,,,,
Bufflehead x Hooded Merganser,,,,,
Northern Bobwhite,,,,,
Willow Ptarmigan,,,,,"53.98876219591412, -94.82661844780347|50.8549032433137, -79.00630594780347|46.263874365354646, -73.73286844780347|43.71598604949537, -73.64497782280347|40.36376412539355, -83.59859110405347|47.95356315265956, -96.18892313530347|51.11081193887077, -95.74947001030347"
Rock Ptarmigan,,,,,
Eared Grebe,,,,,
Western Grebe,,,,,
Band-tailed Pigeon,,,,,
Eurasian Collared-Dove,,,,,
Inca Dove,,,,,
Common Ground Dove,,,,,
White-winged Dove,,,,,
Groove-billed Ani,,,,,
Yellow-billed Cuckoo,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
